Land;Herbst;Weihnachten;Winter;Ostern/Frühjahr;Himmelfahrt/Pfingsten;Sommer
Baden-Württemberg;28.10. – 30.10.  31.10.;23.12. – 04.01.;--;06.04. – 18.04.;02.06. – 13.06.;30.07. – 12.09.
Bayern;28.10. – 31.10.;23.12. – 04.01.;--;24.02. – 28.02.  06.04. – 18.04.;02.06. – 13.06.;27.07. – 07.09.
Berlin;04.10.  07.10. – 19.10.;23.12. – 04.01.;03.02. – 08.02.;06.04. – 17.04.;22.05.;25.06. – 07.08.
Brandenburg;04.10. – 18.10.;23.12. – 03.01.;03.02. – 08.02.;06.04. – 17.04.;--;25.06. – 08.08.
Bremen;04.10. – 18.10.;21.12. – 06.01.;03.02. – 04.02.;28.03. – 14.04.;22.05./02.06.;16.07. – 26.08.
Hamburg;04.10. – 18.10.  01.11.;20.12. – 03.01.;31.01.;02.03. – 13.03.;18.05. – 22.05.;25.06. – 05.08.
Hessen;30.09. – 12.10.;23.12. – 11.01.;--;06.04. – 18.04.;--;06.07. – 14.08.
Mecklenburg-Vorpommern;04.10. – 12.10.  01.11.;23.12. – 04.01.;10.02. – 21.02.;06.04. – 15.04.;22.05.  29.05. – 02.06.;22.06. – 01.08.
Niedersachsen;04.10. – 18.10.;23.12. – 06.01.;03.02. – 04.02.;30.03. – 14.04.;22.05./02.06.;16.07. – 26.08.
Nordrhein-Westfalen;14.10. – 26.10.;23.12. – 06.01.;--;06.04. – 18.04.;02.06.;29.06. – 11.08.
Rheinland-Pfalz;30.09. – 11.10.;23.12. – 06.01.;17.02. – 21.02.;09.04. – 17.04.;--;06.07. – 14.08.
Saarland;07.10. – 18.10.;23.12. – 03.01.;17.02. – 25.02.;14.04. – 24.04.;--;06.07. – 14.08.
Sachsen;14.10. – 25.10.;21.12. – 03.01.;10.02. – 22.02.;10.04. – 18.04.;22.05.;20.07. – 28.08.
Sachsen-Anhalt;04.10. – 11.10.  01.11.;23.12. – 04.01.;10.02. – 14.02.;06.04. – 11.04.;18.05. – 30.05.;16.07. – 26.08.
Schleswig-Holstein;04.10. – 18.10.;23.12. – 06.01.;--;30.03. – 17.04.;22.05.;29.06. – 08.08.
Thüringen;07.10. – 19.10.;21.12. – 03.01.;10.02. – 14.02.;06.04. – 18.04.;22.05.;20.07. – 29.08.
