Land;Herbst;Weihnachten;Winter;Ostern/Frühjahr;Himmelfahrt/Pfingsten;Sommer
Baden-Württemberg;02.11. – 06.11.  31.10.;23.12. – 08.01.;--;19.04. – 23.04.  14.04.;07.06. – 18.06.;28.07. – 10.09.
Bayern;02.11. – 05.11.;24.12. – 08.01.;--;28.02. – 04.03.  11.04. – 23.04.;07.06. – 18.06.;01.08. – 12.09.
Berlin;11.10. – 23.10.;24.12. – 31.12.;29.01. – 05.02.;07.03.  11.04. – 23.04.;27.05.  07.06.;07.07. – 19.08.
Brandenburg;11.10. – 23.10.;23.12. – 31.12.;31.01. – 05.02.;11.04. – 23.04.;--;07.07. – 20.08.
Bremen;18.10. – 30.10.;23.12. – 08.01.;31.01. – 01.02.;04.04. – 19.04.;27.05./07.06.;14.07. – 24.08.
Hamburg;04.10. – 15.10.;23.12. – 04.01.;28.01.;07.03. – 18.03.;23.05. – 27.05.;07.07. – 17.08.
Hessen;11.10. – 23.10.;23.12. – 08.01.;--;11.04. – 23.04.;--;25.07. – 02.09.
Mecklenburg-Vorpommern;02.10. – 09.10.  01.11. – 02.11.;22.12. – 31.12.;05.02. – 17.02.  18.02.;11.04. – 20.04.;03.06. – 07.06.  27.05.;04.07. - 13.08.
Niedersachsen;18.10. – 29.10.;23.12. – 07.01.;31.01. – 01.02.;04.04. – 19.04.;27.05./07.06.;14.07. – 24.08.
Nordrhein-Westfalen;11.10. – 23.10.;24.12. – 08.01.;--;11.04. – 23.04.;--;27.06. – 09.08.
Rheinland-Pfalz;11.10. – 22.10.;23.12. – 31.12.;21.02. – 25.02.;13.04. – 22.04.;--;25.07. – 02.09.
Saarland;18.10. - 29.10.;23.12. – 03.01.;21.02. – 01.03.;14.04. – 22.04.;07.06. – 10.06.;25.07. – 02.09.
Sachsen;18.10. – 30.10.;23.12. – 01.01.;12.02. – 26.02.;15.04. – 23.04.;27.05.;18.07. – 26.08.
Sachsen-Anhalt;25.10. – 30.10.;22.12. – 08.01.;12.02. – 19.02.;11.04. – 16.04.;23.05. – 28.05.;14.07. – 24.08.
Schleswig-Holstein;04.10. – 16.10.;23.12. – 08.01.;--;04.04. – 16.04.;27.05. – 28.05.;04.07. – 13.08.
Thüringen;25.10. – 06.11.;23.12. – 31.12.;12.02. – 19.02.;11.04. – 23.04.;27.05.;18.07. – 27.08.
